Nome estacao,Nr Rack,Area Linha Separaçao,Linha,Coluna,Codigo Material,Conferencia Obrigatoria
COLMÉIA,1,2,9,B,85018,0
COLMÉIA,1,2,9,C,85014,0
COLMÉIA,1,2,9,D,86534,0
COLMÉIA,1,2,9,E,89268,0
COLMÉIA,1,2,9,F,77138,0
COLMÉIA,1,2,9,G,48983,0
COLMÉIA,1,2,9,H,85846,0
COLMÉIA,1,2,9,I,52797,0
COLMÉIA,1,2,9,J,48270,0
COLMÉIA,1,2,9,K,94516,0
COLMÉIA,1,2,9,L,92673,0
COLMÉIA,1,2,9,M,87436,0
COLMÉIA,1,2,9,N,75386,0
COLMÉIA,1,2,9,O,56578,0
COLMÉIA,1,2,9,P,90339,0
COLMÉIA,1,2,9,Q,48974,0
COLMÉIA,1,2,9,R,59384,0
COLMÉIA,1,2,9,S,55405,0
COLMÉIA,1,2,9,T,53838,0
COLMÉIA,1,2,10,A,94520,0
COLMÉIA,1,2,10,B,52584,0
COLMÉIA,1,2,10,C,95352,0
COLMÉIA,1,2,10,D,95351,0
COLMÉIA,1,2,10,E,77853,0
COLMÉIA,1,2,10,F,84860,0
COLMÉIA,1,2,10,G,85851,0
COLMÉIA,1,2,10,H,48979,0
COLMÉIA,1,2,10,I,79437,0
COLMÉIA,1,2,10,J,84866,0
COLMÉIA,1,2,10,K,94518,0
COLMÉIA,1,2,10,L,87048,0
COLMÉIA,1,2,10,M,52935,0
COLMÉIA,1,2,10,N,52154,0
COLMÉIA,1,2,10,O,84873,0
COLMÉIA,1,2,10,P,47465,0
COLMÉIA,1,2,10,Q,52150,0
COLMÉIA,1,2,10,R,53952,0
COLMÉIA,1,2,10,S,53342,0
COLMÉIA,1,2,10,T,88585,0
COLMÉIA,1,2,11,A,76598,0
COLMÉIA,1,2,11,B,87045,0
COLMÉIA,1,2,11,C,85864,0
COLMÉIA,1,2,11,D,94510,0
COLMÉIA,1,2,11,E,52145,0
COLMÉIA,1,2,11,F,54527,0
COLMÉIA,1,2,11,G,86132,0
COLMÉIA,1,2,11,H,04539,0
COLMÉIA,1,2,11,I,84968,0
COLMÉIA,1,2,11,J,88102,0
COLMÉIA,1,2,11,K,58816,0
COLMÉIA,1,2,11,L,52161,0
COLMÉIA,1,2,11,M,52153,0
COLMÉIA,1,2,11,N,88471,0
COLMÉIA,1,2,11,O,77846,0
COLMÉIA,1,2,11,P,87820,0
COLMÉIA,1,2,11,Q,51174,0
COLMÉIA,1,2,11,R,87352,0
COLMÉIA,1,2,11,S,53734,0
COLMÉIA,1,2,11,T,88100,0
COLMÉIA,1,2,12,A,76599,0
COLMÉIA,1,2,12,B,76597,0
COLMÉIA,1,2,12,C,84870,0
COLMÉIA,1,2,12,D,84959,0
COLMÉIA,1,2,12,E,52159,0
COLMÉIA,1,2,12,F,52579,0
COLMÉIA,1,2,12,G,94507,0
COLMÉIA,1,2,12,H,48986,0
COLMÉIA,1,2,12,I,,0
COLMÉIA,1,2,12,J,51185,0
COLMÉIA,1,2,12,K,81480,0
COLMÉIA,1,2,12,L,87444,0
COLMÉIA,1,2,12,M,2286;02286,0
COLMÉIA,1,2,12,N,87046,0
COLMÉIA,1,2,12,O,87044,0
COLMÉIA,1,2,12,P,01808,0
COLMÉIA,1,2,12,Q,82102,0
COLMÉIA,1,2,12,R,94506,0
COLMÉIA,1,2,12,S,94505,0
COLMÉIA,1,2,12,T,77840,0
COLMÉIA,1,2,13,A,87437,0
COLMÉIA,1,2,13,B,82533,0
COLMÉIA,1,2,13,C,76601,0
COLMÉIA,1,2,13,D,85855,0
COLMÉIA,1,2,13,E,54530,0
COLMÉIA,1,2,13,F,87959,0
COLMÉIA,1,2,13,G,52160,0
COLMÉIA,1,2,13,H,87925,0
COLMÉIA,1,2,13,I,52194,0
COLMÉIA,1,2,13,J,53341,0
COLMÉIA,1,2,13,K,81481,0
COLMÉIA,1,2,13,L,52403,0
COLMÉIA,1,2,13,M,82534,0
COLMÉIA,1,2,13,N,84962,0
COLMÉIA,1,2,13,O,86954,0
COLMÉIA,1,2,13,P,50888,0
COLMÉIA,1,2,13,Q,48978,0
COLMÉIA,1,2,13,R,52163,0
COLMÉIA,1,2,13,S,85011,0
COLMÉIA,1,2,13,T,52816,0
COLMÉIA,1,2,14,A,50369,0
COLMÉIA,1,2,14,B,52258,0
COLMÉIA,1,2,14,C,84879,0
COLMÉIA,1,2,14,D,58624,0
COLMÉIA,1,2,14,E,05546,0
COLMÉIA,1,2,14,F,53339,0
COLMÉIA,1,2,14,G,52156,0
COLMÉIA,1,2,14,H,75629,0
COLMÉIA,1,2,14,I,87482,0
COLMÉIA,1,2,14,J,75631,0
COLMÉIA,1,2,14,K,59884,0
COLMÉIA,1,2,14,L,84875,0
COLMÉIA,1,2,14,M,85013,0
COLMÉIA,1,2,14,N,56709,0
COLMÉIA,1,2,14,O,52155,0
COLMÉIA,1,2,14,P,58815,0
COLMÉIA,1,2,14,Q,52199,0
COLMÉIA,1,2,14,R,84872,0
COLMÉIA,1,2,14,S,75630,0
COLMÉIA,1,2,14,T,75626,0
COLMÉIA,1,2,15,A,85666,0
COLMÉIA,1,2,15,B,70878,0
COLMÉIA,1,2,15,C,53907,0
COLMÉIA,1,2,15,D,85668,0
COLMÉIA,1,2,15,E,50990,0
COLMÉIA,1,2,15,F,50379,0
COLMÉIA,1,2,15,G,50381,0
COLMÉIA,1,2,15,H,50380,0
COLMÉIA,1,2,15,I,75742,0
COLMÉIA,1,2,15,J,75754,0
COLMÉIA,1,2,15,K,52326,0
COLMÉIA,1,2,15,L,82530,0
COLMÉIA,1,2,15,M,2285;02285,0
COLMÉIA,1,2,15,N,52798,0
COLMÉIA,1,2,15,O,87043,0
COLMÉIA,1,2,15,P,50756,0
COLMÉIA,1,2,15,Q,56276,0
COLMÉIA,1,2,15,R,09497,0
COLMÉIA,1,2,15,S,75568,0
COLMÉIA,1,2,15,T,53862,0
COLMÉIA,1,2,16,A,87404,0
